"FP"	"TP"	"cutoff"
0.0166441216255955	0.473437223304409	0.999827586206896
0.0203787566899959	0.511886842571277	0.997922077922078
0.0230253484679174	0.544182751903666	0.995893260967888
0.0262012586014233	0.566517619975208	0.993957894736842
0.0282891254484503	0.587502213564725	0.991513725490196
0.0315238487325766	0.603063573578891	0.989052631578947
0.0342292536611186	0.618536391004073	0.986233766233767
0.0369346585896606	0.635470161147512	0.9833
0.0397576898194436	0.64813175137241	0.980160427807486
0.0441980826912898	0.662475650788029	0.977619047619048
0.0475798388519673	0.673786966530901	0.9746499238965
0.0513438804916779	0.684412077209138	0.971666666666667
0.0567840969240722	0.693886134230565	0.968188153310104
0.0618420278774334	0.703581547724455	0.965345997286297
0.0671646180085867	0.712789976978927	0.962264150943397
0.0730165264953243	0.720714538693111	0.95921568627451
0.0783391166264777	0.728528422171064	0.956153846153846
0.0835734870317003	0.738334513901186	0.952988235294116
0.0905134388049168	0.746458296440588	0.949407665505226
0.0958066223607599	0.75318753320347	0.945934838948537
0.101099805916603	0.760536568089251	0.942479838709677
0.106834088102100	0.767664246502568	0.938694581280788
0.112509557136976	0.775898707278201	0.935024630541872
0.118273245897783	0.782539401452098	0.93124369747899
0.125448450273481	0.787719142907739	0.927006105006103
0.131594424513321	0.79427129449265	0.92252804377565
0.137769805328471	0.800247919249159	0.918242424242423
0.144327471622655	0.805405525057553	0.913974358974358
0.151179203669941	0.810873029927395	0.909860576923076
0.157883902840675	0.815255888082168	0.905267054468534
0.164059283655825	0.820391358243315	0.900946969696969
0.170705169675940	0.825991676996635	0.896352941176471
0.177703934599777	0.832211793872853	0.89235593220339
0.183585249661824	0.838144147334868	0.887278664731496
0.189907663353526	0.843102532318045	0.882235294117647
0.197906251837911	0.848060917301222	0.877343342717131
0.205081456213609	0.852089605100053	0.871698412698413
0.212403693465859	0.857689923853374	0.866190476190475
0.219049579485973	0.86247122365858	0.86042328042328
0.227959771804976	0.868691340534797	0.854545454545455
0.23589954713874	0.873184876925801	0.848095238095238
0.244574486855261	0.877988312378254	0.841126436781608
0.252925954243369	0.883035239950416	0.833809523809524
0.261042169028995	0.886289180095626	0.82642857142857
0.268981944362760	0.889808748007792	0.819611491108071
0.276892313121214	0.893726757570391	0.812203779366701
0.285361406810563	0.898463786081105	0.804751773049646
0.294742104334529	0.903267221533558	0.79642857142857
0.303005351996706	0.906875332034709	0.788111111111111
0.311886137740399	0.911058969364264	0.779340463458111
0.320296418279127	0.913936603506286	0.770161290322581
0.328618479091925	0.919426244023375	0.760666666666665
0.337175792507205	0.923786966530901	0.751471153846154
0.346321237428689	0.927461483973791	0.742103896103896
0.35505499029583	0.931667256950593	0.733015873015873
0.364112215491384	0.933947228616965	0.722299465240641
0.372728342057284	0.936935540995219	0.710888888888888
0.382844203964006	0.940034531609704	0.699411764705883
0.391989648885491	0.942403045865061	0.689500674763832
0.400870434629183	0.945103594829113	0.678888888888888
0.410956889960595	0.948003364618381	0.667435897435897
0.420602246662354	0.950261200637507	0.655634146341464
0.431894371581486	0.952297680184169	0.644285714285715
0.442480738693172	0.954843279617496	0.631071428571429
0.454449214844439	0.95734460775633	0.617462365591398
0.466447097571017	0.959978749778644	0.604061538461539
0.477239310709875	0.963099876040375	0.591625615763547
0.489031347409281	0.965534797237471	0.578
0.498911956713521	0.967571276784133	0.565
0.511145092042581	0.969474942447317	0.549803921568628
0.520937481620890	0.971245794227023	0.536101882613511
0.531700288184438	0.972928103417744	0.521075521598589
0.542727753925778	0.975008854258898	0.507028985507246
0.556225371993178	0.976912519922083	0.493809523809525
0.567870375816033	0.978218523109616	0.480270935960591
0.580338763747574	0.980210731361785	0.466388888888889
0.592630712227254	0.981406056313087	0.451666666666666
0.606628242074928	0.98295555162033	0.435797537619699
0.61915544315709	0.984682132105543	0.421272727272727
0.63274128095042	0.986607933415973	0.406428571428572
0.64626830559313	0.987692580131043	0.390073529411765
0.660559901193907	0.988688684257128	0.374888888888889
0.673028289125448	0.989618381441473	0.360151515151515
0.688260895136152	0.990503807331326	0.346190476190476
0.710257013468211	0.9921639808748	0.332190476190476
0.724166323589955	0.992872321586683	0.319358974358974
0.737840381109216	0.993226491942624	0.303874509803921
0.753661118626125	0.994023375243492	0.287862068965517
0.768070340528142	0.994289003010448	0.272142857142857
0.783302946538846	0.994488223835665	0.256111111111111
0.799241310356996	0.994975208075084	0.239333333333333
0.81456213609363	0.995019479369577	0.224636363636364
0.829324236899371	0.995108021958562	0.211083743842365
0.844321590307593	0.99548432796175	0.195032258064516
0.861495030288773	0.996059854790154	0.178611111111111
0.879815326707052	0.996214804320878	0.160181818181818
0.895312591895548	0.996945280680007	0.140952380952381
0.91410339351879	0.997764299628121	0.117222222222222
0.92998294418632	0.99807419868957	0.0907575757575758
0.949420690466388	0.998539047281742	0.0574725274725274
